city,state_admin1,population,latitude,longitude,geonameid
Kirkland,WA,87281,47.68149,-122.20874,5799841
Menifee,CA,87174,33.72835,-117.14642,5372205
Newport Beach,CA,87127,33.61891,-117.92895,5376890
Tracy,CA,87075,37.73987,-121.42618,5403191
Citrus Heights,CA,87056,38.70712,-121.28106,5337561
Bend,OR,87014,44.05817,-121.31531,5713587
Canton,MI,86825,42.30865,-83.48216,4987990
Lehigh Acres,FL,86784,26.62535,-81.6248,4161785
Greenburgh,NY,86764,41.03287,-73.84291,5119347
Bloomington,MN,86435,44.8408,-93.29828,5018739
West Town,IL,86429,41.89381,-87.67493,4916118
Germantown,MD,86395,39.17316,-77.27165,4356050
Clifton,NJ,86334,40.85843,-74.16376,5096699
Duluth,MN,86110,46.78327,-92.10658,5024719
Champaign,IL,86096,40.11642,-88.24338,4887158
Near North Side,IL,85711,41.90003,-87.6345,4903360
Chino,CA,85595,34.01223,-117.68894,5336537
Alhambra,CA,85551,34.09529,-118.12701,5323060
Ogden,UT,85444,41.223,-111.97383,5779206
Redwood City,CA,85288,37.48522,-122.23635,5386834
Bellingham,WA,85146,48.75955,-122.48822,5786899
O'Fallon,MO,85040,38.81061,-90.69985,4401242
Hoover,AL,84848,33.40539,-86.81138,4067994
Melbourne,FL,84678,28.08363,-80.60811,4163971
Danbury,CT,84657,41.39482,-73.45401,4832353
East Norwalk,CT,84530,41.10565,-73.39845,4833505
Edinburg,TX,84497,26.30174,-98.16334,4688275
Sunrise,FL,84439,26.13397,-80.1131,4174402
Bloomington,IN,84067,39.16533,-86.52639,4254679
Cicero,IL,83886,41.84559,-87.75394,4888015
Hemet,CA,83861,33.74761,-116.97307,5356277
San Pedro,CA,83556,33.73585,-118.29229,5392528
Ahwatukee Foothills,AZ,83464,33.34171,-111.98403,5552450
Johns Creek,GA,83335,34.02893,-84.19858,6331909
Mission,TX,83298,26.21591,-98.32529,4711725
Troy,MI,83280,42.60559,-83.14993,5012639
Buena Park,CA,83270,33.86751,-117.99812,5331575
Mid-City,CA,83000,34.04126,-118.36058,13157343
Palm Coast,FL,82893,29.58497,-81.20784,4167538
Fayetteville,AR,82830,36.06258,-94.15743,4110486
Sioux City,IA,82821,42.49999,-96.40031,4876523
Lake Forest,CA,82492,33.64697,-117.68922,5364514
Merced,CA,82436,37.30216,-120.48297,5372253
Longview,TX,82287,32.5007,-94.74049,4707814
Bryan,TX,82118,30.67436,-96.36996,4677008
Westland,MI,82000,42.3242,-83.40021,5014681
Warwick,RI,81699,41.7001,-71.41617,5225507
Lakewood,CA,81611,33.85363,-118.13396,5364855
Farmington Hills,MI,81330,42.48531,-83.37716,4992523
San Tan Valley,AZ,81321,33.1911,-111.528,7310164
Mount Pleasant,SC,81317,32.79407,-79.86259,4588165
Cranston,RI,81073,41.77982,-71.43728,5221659
Largo,FL,81000,27.90979,-82.78842,4161580
Homestead,FL,80737,25.46872,-80.47756,4159050
South Suffolk,VA,80690,36.71709,-76.59023,4786714
Avondale,AZ,80684,33.4356,-112.3496,5552301
Tustin,CA,80583,33.74585,-117.82617,5404119
Mountain View,CA,80435,37.38605,-122.08385,5375480
Napa,CA,80434,38.29714,-122.28553,5376095
Somerville,MA,80318,42.3876,-71.0995,4951257
Kendall,FL,80241,25.67927,-80.31727,4160711
Lawrence,MA,80231,42.70704,-71.16311,4941720
Parma,OH,79937,41.40477,-81.72291,5166177
New Rochelle,NY,79846,40.91149,-73.78235,5128549
Lynchburg,VA,79812,37.41375,-79.14225,4771075
Medford,OR,79805,42.32652,-122.87559,5740099
Deerfield Beach,FL,79768,26.31841,-80.09977,4153071
Sylmar,CA,79614,34.30778,-118.44925,5400784
Pleasanton,CA,79510,37.66243,-121.87468,5383777
Belmont Cragin,IL,79159,41.9317,-87.76867,4884442
Brooklyn Park,MN,79149,45.09413,-93.35634,5019335
Goodyear,AZ,79003,33.43532,-112.35821,5296266
Kennewick,WA,78896,46.21125,-119.13723,5799610
Alameda,CA,78630,37.77099,-122.26087,5322737
Town 'n' Country,FL,78442,28.01057,-82.57732,4175538
